,Municipio,UF,NomeEstacao,CodEstacao,Latitude,Longitude,Altitude,StatusEstacao
1089,Aracatú,BA,Açude Aracatú Jusante,52255100,-14.4417,-41.5411,0.0,Ativo
1090,Ibiassucê,BA,Açude Jacaré-Ibiassucê Montante,52270150,-14.3175,-42.3603,0.0,Ativo
1091,Ibiassucê,BA,Açude Jacaré-Ibiassucê,52270200,-14.3033,-42.3292,0.0,Ativo
1092,Tremedal,BA,Açude Tremendal Montante,52290000,-15.0219,-41.4169,0.0,Ativo
1093,Tremedal,BA,Açude Tremedal,52300000,-14.9794,-41.4053,0.0,Ativo
1094,Tremedal,BA,Açude Tremendal,52300000,-14.98027,-41.40388,0.0,Ativo
1095,Tremedal,BA,Açude Tremendal Jusante,52300100,-14.9686,-41.4053,0.0,Ativo
1096,Anagé,BA,Açude Anagé,52360000,-14.6281,-41.1928,0.0,Ativo
1097,Condeúba,BA,Açude Champrão Montante,52364900,-14.9575,-42.0144,0.0,Ativo
1098,Condeúba,BA,Açude Champrão,52365000,-14.91,-41.9628,0.0,Ativo
1099,Condeúba,BA,Açude Champrão Jusante,52365100,-14.9044,-41.9603,0.0,Ativo
1100,Anagé,BA,UHE Pedra Rio Gavião,52370010,-14.6097,-41.1375,0.0,Ativo
1101,Poções,BA,Açude Morrinhos Montante,52370900,-14.6186,-40.2936,0.0,Ativo
1102,Poções,BA,Açude Morrinhos,52380000,-14.5714,-40.3017,0.0,Ativo
1103,Poções,BA,Açude Morrinhos Jusante,52380100,-14.5694,-40.3014,0.0,Ativo
1104,Tanhaçu,BA,Exu Do Gavião,52391000,-14.1828,-41.0153,0.0,Ativo
1105,Mirante,BA,Areião,52404000,-14.0314,-40.9825,272.0,Ativo
1106,Manoel Vitorino,BA,UHE Pedra Montante 1,52405100,-13.8781,-40.8969,251.0,Ativo
1107,Jequié,BA,UHE Pedra Reservatório,52410100,-13.8481,-40.3439,332.0,Ativo
1108,Jequié,BA,UHE Pedra Jusante,52570100,-13.8647,-40.0808,0.0,Ativo
1109,Itagiba,BA,UHE Funil Montante 2,52680010,-14.1444,-39.7317,135.0,Ativo
1110,Ubaitaba,BA,UHE Funil Reservatório 2,52697060,-14.2308,-39.4697,100.0,Ativo
1111,Ubaitaba,BA,UHE Funil Reservatório 1,52697070,-14.2289,-39.4642,100.0,Ativo
1112,Gongogi,BA,UHE Funil Rio Gongogi,52790020,-14.3258,-39.4636,0.0,Ativo
1113,Ubatã,BA,UHE Funil Montante 1,52811100,-14.2086,-39.5461,0.0,Ativo
1114,Itaju Do Colônia,BA,Itajú Do Colônia,53130000,-15.1444,-39.7225,165.0,Ativo
1115,Itapé,BA,Estiva De Baixo,53140000,-14.9339,-39.4675,101.0,Ativo
1116,Itabuna,BA,Ferradas,53170000,-14.8439,-39.3311,52.0,Manutenção
1117,Una,BA,Fazenda Valmonte,53320200,-15.2831,-39.1125,0.0,Ativo
1118,Indaiabira,MG,PCH Machado Mineiro Rio São João Do Paraíso,53500001,-15.5581,-41.9778,0.0,Ativo
1119,Águas Vermelhas,MG,PCH Machado Mineiro Reservatório,53510000,-15.5064,-41.7047,0.0,Ativo
1120,São João Do Paraíso,MG,PCH Machado Mineiro Jusante,53510100,-15.4928,-41.4519,0.0,Ativo
1121,Águas Vermelhas,MG,Açude Samambaia,53541000,-15.7714,-41.4878,0.0,Ativo
1122,Vitória Da Conquista,BA,Inhobim,53630000,-15.3397,-40.9328,482.0,Ativo
1123,Vitória Da Conquista,BA,Inhobim,53630000,-15.3397,-40.9328,482.0,Ativo
1124,Itambé,BA,Itambé,53650000,-15.2483,-40.6311,342.0,Ativo
1125,Maiquinique,BA,Maiquinique,53700000,-15.6144,-40.2592,0.0,Ativo
1126,Barra Do Choca,BA,Açude Água Fria I Montante,53700500,-14.9475,-40.6208,0.0,Ativo
1127,Barra Do Choca,BA,Açude Água Fria I,53701500,-14.9247,-40.5928,0.0,Ativo
1128,Barra Do Choca,BA,Açude Catolé Montante,53702000,-14.8747,-40.5339,0.0,Ativo
1129,Barra Do Choca,BA,Açude Água Fria II Montante,53710900,-14.9361,-40.5653,0.0,Ativo
1130,Barra Do Choca,BA,Açude Serra Preta Montante,53712000,-14.8075,-40.5033,0.0,Ativo
1131,Barra Do Choca,BA,Açude De Serra Preta,53713000,-14.8436,-40.4753,0.0,Ativo
1132,Barra Do Choca,BA,Açude Serra Preta Jusante,53713500,-14.845,-40.4747,0.0,Ativo
1133,Barra Do Choca,BA,Açude Água Fria II Jusante,53720100,-14.9108,-40.5719,0.0,Ativo
1134,Itapetinga,BA,Itapetinga,53780000,-15.2414,-40.2333,240.0,Ativo
1135,Itapetinga,BA,Itapetinga,53780000,-15.2414,-40.2333,240.0,Ativo
1136,Mascote,BA,Mascote,53950000,-15.5686,-39.3044,4.0,Ativo
1137,Mascote,BA,Mascote,53950000,-15.5686,-39.3044,4.0,Ativo
1138,Grão Mogol,MG,PCH Santa Marta Jusante,54095100,-16.6308,-43.3011,793.0,Ativo
1139,Salinas,MG,Açude Bananal,54166900,-16.0878,-42.0572,600.0,Ativo
1140,Salinas,MG,Açude Bananal,54166900,-16.0878,-42.0572,600.0,Ativo
1141,Salinas,MG,Açude Rio Salinas,54185000,-16.1144,-42.2822,0.0,Ativo
1142,Pedra Azul,MG,Açude Soberbo,54860000,-15.8539,-41.2808,0.0,Ativo
1143,Carlos Chagas,MG,Francisco Sá,55610000,-17.7386,-41.1222,245.0,Ativo
1144,Umburatiba,MG,São Pedro Do Pampã,55660000,-17.3203,-40.6764,192.0,Ativo
1145,Mucuri,BA,IND Suzano Mucuri QA,55741050,-18.0983,-39.8933,0.0,Ativo
1146,Mucuri,BA,IND Suzano Mucuri Montante,55741100,-18.0194,-39.9697,30.0,Ativo
1147,São Mateus,ES,Cotaxé,55810000,-18.6275,-40.1117,0.0,Ativo
1148,São Mateus,ES,Cricaré,55885100,-18.6508,-40.1217,0.0,Ativo
1149,Viçosa,MG,Viçosa Hidro,56083000,-20.7772,-42.8806,674.0,Ativo
1150,Mariana,MG,Mariana,56156700,-20.2667,-43.2017,0.0,Ativo
1151,Ouro Preto,MG,CGH Cachoeira Dos Prazeres Barramento,56209080,-20.4678,-43.4703,0.0,Ativo
1152,Mariana,MG,CGH Cachoeira Dos Prazeres Rio Gualaxo Do Sul,56220900,-20.4636,-43.4039,0.0,Ativo
1153,Barra Longa,MG,Acaiaca - Carmo 01,56335050,-20.3469,-43.1125,0.0,Ativo
1154,Tumiritinga,MG,Doce 09 - Tumititinga,56335320,-18.9714,-41.6414,0.0,Ativo
1155,Barra Longa,MG,Carmo 02 - Barra Longa,56335501,-20.2828,-43.0322,0.0,Ativo
1156,Mariana,MG,Gualaxo Norte 01 - Mariana,56336100,-20.2764,-43.4317,0.0,Ativo
1157,Mariana,MG,Gualaxo Norte 06 - Mariana,56336230,-20.3036,-43.2494,0.0,Ativo
1158,Barra Longa,MG,Gualaxo Norte 08 - Barra Longa,56336240,-20.2858,-43.0658,0.0,Ativo
1159,Rio Doce,MG,Doce 01 - Rio Doce,56337990,-20.2558,-42.9103,0.0,Ativo
1160,Rio Doce,MG,Doce 02- Rio Doce,56338100,-20.2086,-42.8508,0.0,Ativo
1161,São Domingos Do Prata,MG,Doce 03 - São D. Prata,56338200,-20.0142,-42.7444,0.0,Ativo
1162,Bom Jesus Do Galho,MG,Doce 04 - Bom J. Galho,56338250,-19.5542,-42.5214,0.0,Ativo
1163,Belo Oriente,MG,Doce 05 - Belo Oriente,56338260,-19.3206,-42.3644,0.0,Ativo
1164,Governador Valadares,MG,Doce 07 - Periquito,56338300,-18.9706,-42.0881,0.0,Ativo
1165,Baixo Guandu,ES,Doce 11 - Baixo Gandú,56338360,-19.5058,-41.0139,0.0,Ativo
1166,Colatina,ES,Doce 12 - Colatina,56338370,-19.4992,-40.7586,0.0,Ativo
1167,Linhares,ES,Doce 15 - Linhares,56338400,-19.4078,-40.0644,0.0,Manutenção
1168,Linhares,ES,Doce 16 - Linhares,56338420,-19.6461,-39.8231,0.0,Ativo
1169,Aimorés,MG,Manhuaçu 01 - Aimorés,56401100,-19.4836,-41.0939,0.0,Ativo
1170,Urucânia,MG,CGH Nova Ponte Queimada II Montante 2,56415003,-20.4925,-42.6678,439.0,Ativo
1171,Urucânia,MG,CGH Nova Ponte Queimada II Montante 1,56415004,-20.3233,-42.6717,0.0,Ativo
1172,Rio Casca,MG,CGH Nova Ponte Queimada II Jusante,56415006,-20.2742,-42.6519,344.0,Ativo
1173,São José Do Goiabal,MG,Fazenda Cachoeira D'antas,56425000,-19.9944,-42.6744,0.0,Ativo
1174,Raul Soares,MG,Matipó 01 - Raul Soares,56510100,-20.0997,-42.4489,0.0,Ativo
1175,Bom Jesus Do Galho,MG,CGH Bom Jesus Do Galho Montante,56565060,-19.8292,-42.3183,0.0,Ativo
1176,Rio Piracicaba,MG,Rio Piracicaba,56610000,-19.9317,-43.1731,0.0,Ativo
1177,Santa Bárbara,MG,UHE Peti Reservatório 2,56641100,-19.9389,-43.4169,730.0,Ativo
1178,São Gonçalo Do Rio Abaixo,MG,UHE Peti Jusante,56650600,-19.8278,-43.3589,0.0,Ativo
1179,Santa Bárbara,MG,UHE Peti Reservatório 1,56653000,-19.8967,-43.3631,725.0,Ativo
1180,Itabira,MG,PCH Dona Rita Barramento,56777500,-19.4233,-43.2008,0.0,Ativo
1181,Ferros,MG,PCH Dona Rita Jusante,56787100,-19.3317,-43.0703,0.0,Ativo
1182,Dores De Guanhães,MG,UHE Salto Grande Montante,56803000,-19.0567,-42.9253,0.0,Ativo
1183,Joanésia,MG,UHE Porto Estrela Reservatório 2,56820050,-19.1133,-42.7178,269.0,Ativo
1184,Governador Valadares,MG,PCH Tronqueiras Suaçuí Pequeno,56846860,-18.7611,-42.1739,0.0,Ativo
1185,São Pedro Do Suaçuí,MG,São Pedro Do Suaçuí,56860000,-18.3631,-42.6022,420.0,Ativo
1186,Governador Valadares,MG,Suaçuí 01 - G. Valadares,56896005,-18.8539,-41.7864,0.0,Ativo
1187,Conselheiro Pena,MG,Caratinga 01 - C. Pena,56933010,-19.0633,-41.5308,0.0,Ativo
1188,São João Do Manhuaçu,MG,UHE Ponte Do Silva - Ups,56950080,-20.35222,-42.065,811.0,Ativo
1189,Manhuaçu,MG,PCH Sinceridade Montante,56960003,-20.2358,-42.0108,0.0,Ativo
1190,Santana Do Manhuaçu,MG,PCH Neblina Montante 2,56960150,-19.9667,-41.8514,0.0,Ativo
1191,Ipanema,MG,PCH Neblina Barramento,56972000,-19.8322,-41.8003,0.0,Ativo
1192,Laranja Da Terra,ES,PCH São Luiz Jusante,56991300,-19.9694,-41.0678,230.0,Ativo
1193,Barra De São Francisco,ES,PCH São Luiz Montante 1,56991350,-19.9689,-41.0964,570.0,Ativo
1194,Barra De São Francisco,ES,PCH São Luiz Montante 2,56991380,-19.9719,-41.1106,275.0,Ativo
1195,Santa Teresa,ES,Chg Tabocas,56993700,-19.8667,-40.6856,0.0,Ativo
1196,Colatina,ES,CGH Santa Maria,56994100,-19.6169,-40.6131,0.0,Ativo
1197,Colatina,ES,CGH Cachoeira Do Oito,56995600,-19.4697,-40.6131,0.0,Ativo
1198,São Gabriel Da Palha,ES,CGH Cachoeira Da Onça,56997300,-19.05,-40.5325,0.0,Ativo
1199,Alegre,ES,Ibitirama,57420000,-20.5406,-41.6656,710.0,Ativo
1200,Varre-Sai,RJ,Santa Rita Do Prata,57750000,-20.8592,-41.7425,578.0,Ativo
1201,Bom Jesus De Itabapoana,RJ,PCH Calheiros Barramento,57768000,-20.9847,-41.7119,359.0,Ativo
1202,São Luís Do Paraitinga,SP,São Luís Do Paraitinga,58040000,-23.2386,-45.3067,730.0,Ativo
1203,São Luís Do Paraitinga,SP,Ponte Alta 1,58060000,-23.33,-45.1436,888.0,Ativo
1204,Santa Branca,SP,Santa Branca,58099000,-23.3689,-45.9003,525.0,Ativo
1205,Guararema,SP,UHE Santa Branca Guararema,58105300,-23.4153,-46.0244,566.0,Ativo
1206,Jacareí,SP,UHE Santa Branca Jacareí,58110000,-23.3106,-45.9711,560.0,Ativo
1207,Santa Isabel,SP,SB-CA-EAB-PS Elevatória Paraíba Do Sul,58115900,-23.2392,-46.1747,625.0,Ativo
1208,Guaratinguetá,SP,Guaratinguetá,58204000,-22.8119,-45.1825,520.0,Ativo
1209,Guaratinguetá,SP,PCH Lavrinhas Rio Piagui,58212150,-22.7469,-45.1883,537.0,Ativo
1210,Lorena,SP,PCH Lavrinhas Montante 2,58214250,-22.7072,-45.1278,532.0,Ativo
1211,Cachoeira Paulista,SP,UHE Funil Montante 2,58218000,-22.6617,-45.0125,512.0,Ativo
1212,Cruzeiro,SP,PCH Lavrinhas Montante 1,58230150,-22.5833,-44.9556,516.0,Ativo
1213,Lavrinhas,SP,PCH Lavrinhas Barramento,58234880,-22.5681,-44.8636,492.0,Ativo
1214,Barra Mansa,RJ,UHE Funil Jusante 2,58300000,-22.5375,-44.1758,374.0,Ativo
1215,Rio Claro,RJ,UHE Nilo Peçanha Rio Do Braço,58338500,-22.7847,-44.1878,517.0,Ativo
1216,Miguel Pereira,RJ,Javary,58375000,-22.4683,-43.49,0.0,Ativo
1217,Miguel Pereira,RJ,Miguel Pereira,58378000,-22.4444,-43.4467,599.0,Ativo
1218,Três Rios,RJ,UHE Simplício Montante,58385100,-22.1164,-43.2003,0.0,Ativo
1219,Petrópolis,RJ,Petrópolis,58400020,-22.5192,-43.1872,824.2,Ativo
1220,Teresópolis,RJ,Teresópolis - Paquequer,58410000,-22.4306,-42.9764,885.0,Ativo
1221,São José Do Vale Do Rio Preto,RJ,PCH Poço Fundo Barramento,58421000,-22.1892,-42.8914,0.0,Ativo
1222,São José Do Vale Do Rio Preto,RJ,PCH Poço Fundo Jusante,58421100,-22.1639,-42.8917,0.0,Ativo
1223,Areal,RJ,PCH Secretário Montante,58433900,-22.2997,-43.1789,509.0,Ativo
1224,Areal,RJ,PCH Secretário Barramento,58433950,-22.2994,-43.1775,541.0,Ativo
1225,Três Rios,RJ,UHE Simplício Moura Brasil,58440000,-22.1403,-43.1542,278.0,Ativo
1226,Juiz De Fora,MG,PCH Marmelos Montante 2,58470800,-21.7189,-43.3947,680.0,Ativo
1227,Juiz De Fora,MG,PCH Joasal Barramento,58489000,-21.7964,-43.2972,0.0,Ativo
1228,Juiz De Fora,MG,PCH Joasal Jusante,58489010,-21.8056,-43.3114,529.0,Ativo
1229,Matias Barbosa,MG,PCH Paciência Jusante,58490100,-21.8578,-43.3339,0.0,Ativo
1230,Rio Preto,MG,Rio Preto,58550001,-22.0861,-43.82,426.0,Ativo
1231,Santa Bárbara Do Monte Verde,MG,CGH Serra Negra Montante,58550200,-22.0217,-43.7497,567.0,Ativo
1232,Rio Das Flores,RJ,Rio Das Flores,58583000,-22.1683,-43.5869,503.6,Ativo
1233,Santana Do Deserto,MG,CGH Santana Do Deserto I Montante,58594090,-21.9633,-43.1558,364.0,Ativo
1234,Chiador,MG,UHE Simplício Rio Paraibuna,58612000,-22.0914,-43.1453,268.0,Ativo
1235,Sapucaia,RJ,UHE Simplício Reservatório Anta,58630010,-22.0325,-43.0025,0.0,Ativo
1236,Sapucaia,RJ,UHE Simplício Anta Jusante,58630030,-22.0344,-42.9903,0.0,Ativo
1237,Além Paraíba,MG,UHE Simplício Barramento,58632000,-21.9203,-42.7933,0.0,Ativo
1238,Carmo,RJ,UHE Ilha Dos Pombos Jusante,58653500,-21.8353,-42.5817,110.0,Ativo
1239,Guarani,MG,Guarani,58730001,-21.3556,-43.0503,398.0,Ativo
1240,Astolfo Dutra,MG,Astolfo Dutra,58735000,-21.3094,-42.8619,165.0,Ativo
1241,Astolfo Dutra,MG,Barra Do Xopotó,58736000,-21.2983,-42.8194,230.0,Ativo
1242,Ervália,MG,PCH Ervália Montante,58737050,-20.9011,-42.6547,761.0,Ativo
1243,Piau,MG,PCH Piau Jusante,58746000,-21.5067,-43.3669,0.0,Ativo
1244,Itamarati De Minas,MG,Usina Maurício - Jusante,58765010,-21.4503,-42.7992,0.0,Ativo
1245,Santo Antônio De Pádua,RJ,Santo Antônio De Pádua II,58790002,-21.5422,-42.1806,0.0,Ativo
1246,Nova Friburgo,RJ,Ypu,58826035,-22.29556,-42.52667,0.0,Ativo
1247,Nova Friburgo,RJ,Olaria,58826060,-22.30861,-42.54222,7.09,Ativo
1248,Nova Friburgo,RJ,Nova Friburgo,58826065,-22.27861,-42.53361,830.0,Ativo
1249,Nova Friburgo,RJ,Sítio Santa Paula,58826075,-22.2681,-42.5725,0.0,Manutenção
1250,São Fidélis,RJ,Pimentel,58850000,-21.77,-41.9383,80.0,Ativo
1251,Eugenópolis,MG,CGH Antônio Prado Jusante,58921100,-21.0314,-42.1964,260.0,Ativo
1252,Campo Dos Goytacazes,RJ,Campelo,58986350,-21.6792,-41.2042,0.0,Ativo
1253,Campo Dos Goytacazes,RJ,Yacht Club Lagoa De Cima,59001550,-21.7775,-41.5206,0.0,Ativo
1254,Campo Dos Goytacazes,RJ,Lagoa Feia - Fazenda Modelo Carães,59017980,-21.9722,-41.2747,0.0,Ativo
1255,Macaé,RJ,PCH Glicério Barramento,59139700,-22.2389,-42.0758,251.0,Ativo
1256,Macaé,RJ,PCH Glicério Jusante,59139800,-22.2381,-42.0631,120.0,Ativo
1257,Silva Jardim,RJ,Portal Silva Jardim (Pc-02),59192502,-22.6422,-42.4011,0.0,Ativo
1258,Maricá,RJ,Barra De Maricá,59222000,-22.955,-42.8089,1.0,Ativo
1259,Maricá,RJ,Mumbuca,59222100,-22.9067,-42.8144,0.0,Ativo
1260,São Gonçalo,RJ,Colubandê-Alcântara,59228050,-22.8492,-43.0089,0.0,Ativo
1261,Cachoeiras De Macacu,RJ,Cachoeiras De Macacu,59235002,-22.4786,-42.6575,33.0,Ativo
1262,Tanguá,RJ,Ponte De Tanguá,59240900,-22.7275,-42.7264,28.48,Ativo
1263,Duas Barras,RJ,Duas Barras,59242000,-22.4383,-42.7611,35.0,Ativo
1264,Magé,RJ,Iconha (Orindi),59245200,-22.5478,-42.8981,12.0,Ativo
1265,São Pedro Da Aldeia,RJ,Ponte RJ-10,59250100,-22.8672,-42.0469,5.17,Ativo
1266,Duque De Caxias,RJ,Santa Cruz Da Serra,59270000,-22.6369,-43.2883,7.0,Ativo
1267,Belford Roxo,RJ,Ciep 100,59284200,-22.77944,-43.39944,18.63,Ativo
1268,Rio De Janeiro,RJ,Av. Automóvel Clube,59305028,-22.8219,-43.3511,6.0,Ativo
1269,Rio De Janeiro,RJ,Estrada Velha Da Pavuna,59305035,-22.8731,-43.2681,6.37,Ativo
1270,Piraí,RJ,UHE Pereira Passos Jusante,59310000,-22.6861,-43.8222,47.0,Ativo
1271,Angra Dos Reis,RJ,Vila Perequê,59373000,-23.0025,-44.54333,7.09,Ativo
1272,Patos De Minas,MG,Santana De Patos,60010000,-18.8411,-46.5508,851.0,Ativo
1273,Cristalina,GO,Samambaia Trecho Final,60018100,-16.5006,-47.4786,0.0,Ativo
1274,Cristalina,GO,Fazenda Ipê,60018200,-16.2086,-47.5681,0.0,Ativo
1275,Cristalina,GO,UHE Batalha Montante 2,60018500,-16.5114,-47.4528,830.0,Ativo
1276,Cristalina,GO,Sítio Nossa Senhora Da Conceição,60018740,-16.6344,-47.4261,0.0,Ativo
1277,Paracatu,MG,UHE Batalha Montante 1,60018800,-16.7578,-47.2342,800.0,Ativo
1278,Cristalina,GO,Fazenda Flamboiandia,60018820,-16.8367,-47.2042,0.0,Ativo
1279,Unaí,MG,Fazenda São Carlos,60018900,-16.6075,-47.3258,0.0,Ativo
1280,Unaí,MG,Agropecuária Vale Verde,60018920,-16.6853,-47.1992,0.0,Ativo
1281,Cristalina,GO,UHE Batalha Reservatório 2,60020200,-17.3444,-47.4414,0.0,Ativo
1282,Cristalina,GO,UHE Batalha Reservatório 1,60020300,-17.3444,-47.4858,0.0,Ativo
1283,Cristalina,GO,UHE Batalha Barramento,60020400,-17.3461,-47.4914,0.0,Ativo
1284,Ipameri,GO,Lago Azul,60023100,-17.3022,-47.5686,0.0,Ativo
1285,Cristalina,GO,Castelhano Montante PCH Lago Azul,60026100,-17.1822,-47.5908,0.0,Ativo
1286,Campo Alegre De Goiás,GO,UHE Serra Do Facão Ponte Alta,60029900,-17.4778,-47.6244,744.81,Ativo
1287,Catalão,GO,CGH São Bento Montante,60045000,-17.7731,-47.5361,876.0,Ativo
1288,Davinópolis,GO,Fazenda Lemes,60051000,-18.1608,-47.6472,0.0,Ativo
1289,Araguari,MG,UHE Itumbiara Rio Jordão,60179000,-18.5883,-48.1272,630.0,Ativo
1290,Brasília,DF,Rio Paranoá,60180054,-15.8056,-47.7069,875.0,Ativo
1291,Araguari,MG,CGH Pissarrão Montante,60180060,-18.6919,-48.0933,0.0,Ativo
1292,Araguari,MG,CGH Pissarrão Barramento,60180070,-18.6875,-48.0969,0.0,Ativo
1293,Unaí,MG,Fazenda Palmeira,60182000,-16.6658,-47.2314,0.0,Ativo
1294,Paracatu,MG,Fazenda Lageado,60183000,-16.8611,-47.1306,0.0,Ativo
1295,Ipameri,GO,UHE Itumbiara Rio Veríssimo,60199000,-17.9525,-48.1539,610.0,Ativo
1296,Santa Juliana,MG,PCH Pai Joaquim Montante,60229800,-19.5164,-47.4983,843.0,Ativo
1297,Anápolis,GO,Piancó I - Montante Captação,60300900,-19.1558,-48.9353,976.0,Ativo
1298,Anápolis,GO,Piancó II - Jusante Captação,60310050,-16.1572,-48.9358,914.0,Ativo
1299,Goiânia,GO,Captação Meia Ponte Goiânia,60310100,-16.5689,-49.3283,698.0,Ativo
1300,Abadiania,GO,Capivari - Mmontante Captação,60310200,-16.1003,-48.8681,901.0,Ativo
1301,Santa Cruz De Goiás,GO,Fazenda Muquém,60321800,-17.2944,-48.7119,778.0,Ativo
1302,Uberlândia,MG,PCH Martins Jusante,60390500,-18.7694,-48.4403,641.0,Ativo
1303,Brasília,DF,Descoberto - Chacara 89,60435000,-15.7089,-48.2339,1034.0,Ativo
1304,Brasília,DF,Rodeador - Df 435,60435200,-15.725,-48.1683,1035.0,Ativo
1305,Brasília,DF,Ribeirão Das Pedras,60435405,-15.7622,-48.1594,0.0,Ativo
1306,Brasília,DF,Melchior,60436185,-15.9267,-48.2589,0.0,Ativo
1307,Brasília,DF,Rio Descoberto,60436186,-15.9311,-48.2575,0.0,Ativo
1308,Santo Antônio Do Descoberto,GO,Baixo Rio Descoberto,60436300,-16.0081,-48.2719,0.0,Ativo
1309,Santo Antônio Do Descoberto,GO,Engenho Das Lajes,60436400,-16.0528,-48.2444,0.0,Ativo
1310,Brasília,DF,Ponte Alta,60443830,-16.0372,-48.1361,0.0,Ativo
1311,Brasília,DF,Alagado,60444035,-16.0467,-48.0822,0.0,Ativo
1312,Brasília,DF,Pipiripau,60472235,-15.6144,-47.5456,1008.0,Ativo
1313,Brasília,DF,Ribeirão Sobradinho,60474300,-15.7272,-47.6967,0.0,Ativo
1314,Brasília,DF,Bartolomeu - Montante Paranoá,60476155,-15.8094,-47.7006,0.0,Ativo
1315,Brasília,DF,UHE Paranoá Córrego Bananal,60477607,-15.7283,-47.91,1003.0,Ativo
1316,Brasília,DF,Riacho Fundo Vila Cauhy,60478185,-15.8753,-47.9661,1019.0,Ativo
1317,Brasília,DF,Estação Teste,60478250,-15.8167,-47.95,0.0,Ativo
1318,Brasília,DF,Estação Teste,60478250,-15.8167,-47.95,0.0,Ativo
1319,Brasília,DF,Estação Teste 1,60478251,-15.8194,-47.9556,0.0,Ativo
1320,Brasília,DF,Estação Teste 1,60478251,-15.8194,-47.9556,0.0,Ativo
1321,Brasília,DF,Ribeirão Maria Pereira,60478477,-16.0422,-47.8486,0.0,Ativo
1322,Valparaíso De Goiás,GO,Captação Da Saneago,60478480,-16.0647,-47.9425,0.0,Ativo
1323,Valparaíso De Goiás,GO,Captação Da Saneago,60478480,-16.0647,-47.9425,0.0,Ativo
1324,Brasília,DF,Córrego Saia Velha,60478481,-16.0497,-47.9378,0.0,Ativo
1325,Brasília,DF,Ribeirão Do Gama,60478520,-15.8583,-47.8739,0.0,Ativo
1326,Brasília,DF,UHE Paranoá Córrego Cabeça De Veado,60478610,-15.8558,-47.8575,1003.96,Ativo
1327,Brasília,DF,UHE Paranoá Barramento,60479270,-15.7975,-47.7839,1000.0,Ativo
1328,Brasília,DF,UHE Paranoá Jusante,60479280,-15.7911,-47.7622,895.0,Ativo
1329,Brasília,DF,Fazenda Encontro Das Águas,60480052,-15.8056,-47.7069,875.0,Ativo
1330,Brasília,DF,Taboca,60480310,-15.8753,-47.7228,0.0,Ativo
1331,Brasília,DF,Papuda,60480550,-15.8925,-47.7228,0.0,Ativo
1332,Brasília,DF,Cachoeirinha,60491000,-16.0356,-47.6853,0.0,Ativo
1333,Brasília,DF,Santana,60492000,-16.0508,-47.7442,0.0,Ativo
1334,Luziânia,GO,PCH São Bartolomeu Jusante,60492240,-16.4836,-47.7772,777.0,Ativo
1335,Cristalina,GO,Rio Pamplona,60495000,-16.4317,-47.6914,0.0,Ativo
1336,Luziânia,GO,PCH Gameleira Rio Pamplona,60495100,-16.5358,-47.7792,779.0,Ativo
1337,Luziânia,GO,PCH Gameleira Jusante,60500040,-16.6472,-47.8356,756.0,Ativo
1338,Luziânia,GO,PCH Tamboril Barramento,60500100,-16.7856,-47.8844,745.0,Ativo
1339,Luziânia,GO,PCH Tamboril Jusante,60500200,-16.7875,-47.8856,744.0,Ativo
1340,Orizona,GO,UHE Corumbá I Montante 2,60510100,-17.0169,-47.9275,0.0,Ativo
1341,Orizona,GO,UHE Corumbá I Rio Piracanjuba,60540000,-17.1314,-48.1372,690.0,Ativo
1342,Coromandel,MG,CGH Lages Montante,60550900,-18.4889,-46.9275,0.0,Ativo
1343,Coromandel,MG,CGH Lages Barramento,60551000,-18.4903,-46.9281,0.0,Ativo
1344,Caldas Novas,GO,UHE Corumbá I Reservatório,60570078,-17.9861,-48.5228,0.0,Ativo
1345,Araporã,MG,UHE Itumbiara Reservatório 2,60590900,-18.3431,-48.8628,0.0,Ativo
1346,Itaguarí,GO,Captação - Montante,60601000,-15.9292,-49.5989,648.0,Ativo
1347,Araporã,MG,UHE Itumbiara Reservatório 1,60610050,-18.4097,-49.0594,0.0,Ativo
1348,Tupaciguara,MG,Fazenda Cachoeira,60615000,-18.6983,-48.7806,793.0,Ativo
1349,Monte Alegre De Minas,MG,PCH Piedade Barramento,60617000,-18.6892,-49.0094,653.0,Ativo
1350,Monte Alegre De Minas,MG,PCH Piedade Jusante,60618000,-18.6664,-49.0636,518.0,Ativo
1351,Santa Cruz De Goiás,GO,Fazenda Lambari,60620550,-17.4231,-48.7217,693.0,Ativo
1352,Centralina,MG,CGH Santa Luzia Montante,60621900,-18.5297,-49.2053,0.0,Ativo
1353,Terezópolis De Goiás,GO,Montante Barragem Rib. João Leite - Reresópolis,60630400,-16.4731,-49.1122,759.0,Ativo
1354,Inhumas,GO,Montante Captação Inhumas,60634940,-16.3503,-49.4992,740.0,Ativo
1355,Inhumas,GO,Captação Meia Ponte - Inhumas,60635050,-16.3292,-49.4958,749.0,Ativo
1356,Itauçu,GO,Captação Meia Ponte - Itauçu,60635070,-16.5703,-49.3186,983.0,Ativo
1357,Goiânia,GO,Montante Captação Goiânia,60635200,-16.5694,-49.3292,705.0,Ativo
1358,Acreuna,GO,PCH Verde 8 Rio Fernando,60641100,-17.4208,-50.5269,533.0,Ativo
1359,Goiânia,GO,Barragem Ribeirão João Leite - Goiânia,60642100,-16.5672,-49.2119,750.0,Ativo
1360,Bela Vista De Goiás,GO,Fazenda Sucuri,60654000,-16.9136,-49.1047,0.0,Ativo
