,Municipio,UF,NomeEstacao,CodEstacao,Latitude,Longitude,Altitude,StatusEstacao
889,Verdejante,PE,Açude Salgueiro,48575000,-8.0286,-39.0592,0.0,Ativo
890,Santa Maria Da Boa Vista,PE,UHE Luiz Gonzaga (Itaparica) Montante 3,48580000,-8.8092,-39.8256,0.0,Ativo
891,Belém De São Francisco,PE,Belém Do São Francisco,48699000,-8.7658,-38.9622,299.7,Ativo
892,Itapetim,PE,Açude Boa Vista (Itapetim),48801500,-7.3694,-37.2186,0.0,Ativo
893,São José Do Egito,PE,Açude São José II,48802500,-7.4761,-37.2944,0.0,Ativo
894,Tuparetama,PE,Açude Bom Sucesso,48803000,-7.6394,-37.3567,0.0,Ativo
895,Afogados Da Ingazeira,PE,Açude Brotas,48805000,-7.7444,-37.6222,0.0,Ativo
896,Carnaiba,PE,Açude Chinelo,48807000,-7.7825,-37.7889,0.0,Ativo
897,Afogados Da Ingazeira,PE,Açude Laje Do Gato,48815000,-7.6575,-37.6503,0.0,Ativo
898,Ingazeira,PE,Açude Rosário,48822000,-7.7722,-37.4717,0.0,Ativo
899,Serra Talhada,PE,Açude Jazigo,48839000,-8.0011,-38.2419,0.0,Ativo
900,São José Do Belmonte,PE,Açude Serrote,48840900,-7.7811,-38.8819,0.0,Ativo
901,Serra Talhada,PE,Açude Cachoeira II,48841500,-7.9739,-38.3233,0.0,Ativo
902,São José Do Belmonte,PE,Açude Arrodeio,48849500,-7.8575,-38.7861,0.0,Ativo
903,Brejinho,PE,Açude Serrinha (Serraria),48850001,-7.3189,-37.3044,375.0,Ativo
904,Serra Talhada,PE,Açude Serrinha II,48851000,-8.2042,-38.5278,0.0,Ativo
905,Floresta,PE,Açude Barra Do Juá,48853000,-8.4464,-38.0744,0.0,Ativo
906,Floresta,PE,Açude Barra Do Juá - Jusante,48853002,-8.4494,-38.0744,394.0,Ativo
907,Floresta,PE,Açude Barra Do Juá - Jusante,48853002,-8.4494,-38.0744,394.0,Ativo
908,Floresta,PE,Açude Quebra Unha,48881000,-8.4686,-38.2236,0.0,Ativo
909,Jatobá,PE,UHE Luiz Gonzaga (Itaparica) Reservatório 12,49042460,-8.7917,-38.9617,0.0,Ativo
910,Jatobá,PE,UHE Luiz Gonzaga (Itaparica) Reservatório 11,49042470,-8.8361,-38.7272,0.0,Ativo
911,Jatobá,PE,UHE Luiz Gonzaga (Itaparica) Reservatório 10,49042480,-8.82,-38.6569,0.0,Ativo
912,Jatobá,PE,UHE Luiz Gonzaga (Itaparica) Reservatório 9,49042490,-8.9058,-38.6847,0.0,Ativo
913,Jatobá,PE,UHE Luiz Gonzaga (Itaparica) Reservatório 8,49042505,-8.9286,-38.6053,0.0,Ativo
914,Jatobá,PE,UHE Luiz Gonzaga (Itaparica) Reservatório 7,49042510,-8.8117,-38.5539,0.0,Ativo
915,Jatobá,PE,UHE Luiz Gonzaga (Itaparica) Reservatório 6,49042520,-8.82,-38.42,0.0,Ativo
916,Jatobá,PE,UHE Luiz Gonzaga (Itaparica) Reservatório 5,49042530,-8.9328,-38.5167,0.0,Ativo
917,Jatobá,PE,UHE Luiz Gonzaga (Itaparica) Reservatório 4,49042540,-9.0322,-38.4519,0.0,Ativo
918,Jatobá,PE,UHE Luiz Gonzaga (Itaparica) Reservatório 3,49042555,-8.9967,-38.2358,0.0,Ativo
